epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,10859.1,1.23705,0.90977,1.23982,0.83699,0.77811,0.8343,0.55286,1.36202,0.94723,1.28463,0.0083962,0.0083962,0.0083962
83,10989.1,1.2304,0.89927,1.23512,0.84873,0.75638,0.82817,0.55154,1.36662,0.95324,1.29051,0.0083764,0.0083764,0.0083764
84,11117.8,1.22666,0.90091,1.24292,0.85611,0.75275,0.82529,0.55384,1.35502,0.95945,1.28333,0.0083566,0.0083566,0.0083566
85,11248.7,1.22907,0.88583,1.22983,0.8807,0.75452,0.8336,0.55639,1.35396,0.94938,1.27894,0.0083368,0.0083368,0.0083368
86,11378.6,1.22307,0.88766,1.22921,0.86719,0.75554,0.83398,0.55532,1.3615,0.949,1.28355,0.008317,0.008317,0.008317
87,11506.1,1.23205,0.90115,1.22987,0.86495,0.75491,0.83257,0.55243,1.36295,0.94887,1.28256,0.0082972,0.0082972,0.0082972
88,11632.5,1.23194,0.89775,1.2305,0.87149,0.75878,0.83247,0.55248,1.35629,0.94386,1.27913,0.0082774,0.0082774,0.0082774
89,11760.6,1.22444,0.88032,1.22943,0.86502,0.76322,0.83064,0.55374,1.35706,0.94492,1.28119,0.0082576,0.0082576,0.0082576
90,11890.1,1.21499,0.87236,1.22004,0.87694,0.75766,0.83224,0.55794,1.35367,0.95067,1.27954,0.0082378,0.0082378,0.0082378
91,12021.2,1.20844,0.8761,1.22388,0.87671,0.75391,0.83377,0.55735,1.34592,0.94842,1.2722,0.008218,0.008218,0.008218
92,12151.9,1.2053,0.8705,1.21321,0.87823,0.75212,0.83402,0.56019,1.34281,0.94134,1.26808,0.0081982,0.0081982,0.0081982
93,12281,1.20199,0.85962,1.21558,0.87619,0.7573,0.83741,0.56069,1.34393,0.94189,1.27017,0.0081784,0.0081784,0.0081784
94,12412,1.2015,0.86003,1.21142,0.86959,0.75129,0.83526,0.56172,1.34148,0.94044,1.26564,0.0081586,0.0081586,0.0081586
95,12546.7,1.1978,0.85343,1.21263,0.87194,0.74969,0.83422,0.56185,1.34775,0.95061,1.27115,0.0081388,0.0081388,0.0081388
96,12678.4,1.21366,0.87805,1.22287,0.87966,0.74679,0.83543,0.56081,1.35053,0.95236,1.27393,0.008119,0.008119,0.008119
97,12810.7,1.20337,0.86013,1.21591,0.88631,0.74922,0.83571,0.5613,1.34962,0.95022,1.27605,0.0080992,0.0080992,0.0080992
98,139.477,1.18068,0.83045,1.19934,0.87651,0.75402,0.83703,0.56237,1.34354,0.9492,1.27427,0.0080794,0.0080794,0.0080794
99,274.406,1.18903,0.8445,1.20535,0.88307,0.7557,0.835,0.56293,1.3423,0.94378,1.27502,0.0080596,0.0080596,0.0080596
100,408.059,1.18781,0.83793,1.20527,0.88595,0.74838,0.83349,0.56406,1.34466,0.94279,1.27805,0.0080398,0.0080398,0.0080398
101,541.308,1.18825,0.85254,1.21134,0.88794,0.74705,0.83363,0.56284,1.34725,0.94004,1.27955,0.00802,0.00802,0.00802
